smiles,hit0,hit1
[H]C([H])([H])O[C@@]1([H])C([H])([H])[S@]2([H])[C@]([H])(C([H])([H])C([H])([H])[C@@]23SC([H])([H])N([C@]2([H])OC([H])([H])C([H])([H])C2([H])[H])C3([H])[H])C([H])([H])[C@@]1([H])C([H])([H])[H],m0145a,m0597a
[H]c1c([H])c([H])c(C([H])([H])/C(C(=O)C([H])([H])OC([H])([H])[H])=C(\N([H])c2nnc(C([H])([H])C([H])([H])[H])s2)[C@]2([H])OC([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],m0145a,m0604a
[H]c1c([H])c([H])c(C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])N([H])[C@]2([H])O[C@@]([H])(C(=O)N([H])c3nnc(C([H])([H])C([H])([H])[H])s3)C([H])([H])C2([H])[H])c(C([H])([H])[H])c1[H],m0145a,m0609a
[H]O[C@@]1(N2C([H])([H])C([H])(OC([H])([H])[H])C2([H])[H])O[C@@]([H])(C(=O)N([H])c2nnc(C([H])([H])C([H])([H])[H])s2)C([H])([H])[C@]1([H])O[H],m0145a,m0611a
[H]O[C@]12ON([H])[C@@]3([H])[C@]1(N([H])C([H])([H])C([H])([H])[C@@]21OC([H])([H])C([H])([H])C1([H])[H])N1C([H])([H])OC([H])([H])[C@@]2([H])C([H])=C([H])C([H])([H])C([H])([H])[C@@]12[S@@]3([H])O[H],m0145a,m0615a
[H]N1[C@]2([H])S[C@]3([H])OC([H])([H])C([H])([H])[C@@]([H])(OC([H])([H])[H])[C@@]3([H])[C@]2([H])OC([H])([H])C([H])([H])[S@@]2(=O)=N[C@@]3([H])O[C@]([H])(C([H])([H])C3([H])[H])[C@@]12[H],m0145a,m0631a
[H]OC([H])([H])[C@]1(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])N([H])N([H])[C@@]([H])(S[H])[C@]([H])(C([H])([H])[C@]2([H])OC([H])([H])C([H])([H])C2([H])[H])C1([H])[H],m0145a,m0642a
[H]C(=O)N1[C@]([H])(C([H])([H])[H])C([H])([H])O[C@]([H])(C([H])([H])[H])[C@@]12S[C@@]([H])(N([H])C(=O)[C@]1([H])OC([H])([H])C([H])([H])C1([H])[H])N([H])N2[H],m0145a,m0658a
[H]OC([H])([H])[C@H]1C([H])C([H])SC([H])N[C@H]([C@]2([H])OC([H])([H])C([H])([H])C2([H])[H])N(O)[C@H](C([H])([H])C([H])([H])[H])C([H])C([H])C1[H],m0145a,m0659a
[H]c1c([H])c2c([H])c(c1[H])C([H])([H])C([H])([H])c1nnc(s1)N([H])C1=C2C(=O)[C@@]2([H])O[C@]1([H])C([H])([H])C2([H])[H],m0145a,m0677a
[H]N(/C(=N/S(=O)(=O)C([H])([H])[H])[C@]1([H])OC([H])([H])C([H])([H])C1([H])[H])c1nc2c(s1)C([H])([H])C([H])([H])C([H])([H])C2([H])[H],m0145a,m0717a
[H]S[C@]([H])(N([H])N([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])Cl)N([H])[C@](OS(=O)(=O)C([H])([H])[H])(C([H])([H])[H])[C@]1([H])OC([H])([H])C([H])([H])C1([H])[H],m0145a,m0718a
[H]N(/C(=C(\C([H])([H])[H])S(=O)(=O)C([H])([H])[H])[C@]1([H])OC([H])([H])C([H])([H])C1([H])[H])c1nc2c(s1)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H],m0145a,m0731a
[H]N(C(=O)[C@]1([H])OC([H])([H])C([H])([H])C1([H])[H])c1nnc([C@](N([H])C([H])([H])N([H])C([H])([H])C([H])([H])[H])(N([H])S(=O)(=O)C([H])([H])[H])C([H])([H])[H])s1,m0145a,m0733a
[H]O[C@@]([H])(c1nnc(N([H])C2=NS(=O)(=O)C([H])([H])[C@@]3([H])C([H])([H])C([H])([H])O[C@@]23[H])s1)C([H])([H])C([H])([H])[H],m0145a,m0743a
[H]S[C@]([H])(N([H])N1C([H])=C([H])C(C([H])([H])C([H])([H])[H]):C([H]):C1[H])N([H])N1C([H])([H])C(=O)N([H])[C@@]2(O)C([H])([H])C([H])([H])O[C@@]2([H])C1([H])[H],m0145a,m0770a
[H]O[S@@H]1C2(N([H])N([H])[C@]1([H])N([O-])C(=O)[C@]1([H])OC([H])([H])C([H])([H])C1([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H],m0145a,m0789a
